market,submarket,channel block,licensee,contact,lower freq,upper freq,grant date,effective date,cancellation date,buildout deadline 1,buildout deadline 2,notification 1,notification 2,license link,app link,app type
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9681244,"MD
          - Modification"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9681244,"MD
          - Modification"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9680912,"AU
          - Administrative Update"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9680912,"AU
          - Administrative Update"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9013124,"TC
          - Transfer of Control"
"BEA049 
                  -                  
                    Cincinnati-Hamilton, OH-KY-IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9013124,"TC
          - Transfer of Control"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14976309,"EX
          - Request for Extension of Time"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14976309,"EX
          - Request for Extension of Time"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14488069,"TC
          - Transfer of Control"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14488069,"TC
          - Transfer of Control"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14112271,"RO
          - Renewal Only"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14112271,"RO
          - Renewal Only"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=11637360,"EX
          - Request for Extension of Time"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=11637360,"EX
          - Request for Extension of Time"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=10198513,"NT
          - Required Notification


          
          	(1)"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=10198513,"NT
          - Required Notification


          
          	(1)"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9681366,"MD
          - Modification"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9681366,"MD
          - Modification"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9680921,"AU
          - Administrative Update"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9680921,"AU
          - Administrative Update"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9013124,"TC
          - Transfer of Control"
"BEA066 
                  -                  
                    Fort Wayne, IN",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=9013124,"TC
          - Transfer of Control"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14976377,"EX
          - Request for Extension of Time"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14976377,"EX
          - Request for Extension of Time"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14488069,"TC
          - Transfer of Control"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14488069,"TC
          - Transfer of Control"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14114106,"RO
          - Renewal Only"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=14114106,"RO
          - Renewal Only"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2000.0,2010.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=11637441,"EX
          - Request for Extension of Time"
"BEA147 
                  -                  
                    Spokane, WA-ID",0,A,"Gamma Acquisition L.L.C.
P.O. Box 6663
Englewood, CO
80155

ATTN General Counsel","DISH Wireless
Alison
Minea 

1110 Vermont Ave., NW Suite 450
Washington, DC
20005",2180.0,2190.0,11/28/2023,11/28/2023,"",03/07/2017,06/14/2025,03/07/2017,"",https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3453850,https://wireless2.fcc.gov/UlsApp/ApplicationSearch/applMain.jsp?applID=11637441,"EX
          - Request for Extension of Time"
