station_id,x_coord,y_coord,bandwidth_mhz,azimuth_deg,cluster,state,area_type,licensee,city,bea_id,bea_name,service_type,data_source_format,processing_version,elevation_deg,fixed_start_freq,fixed_end_freq,optimized_start_freq_mhz,optimized_end_freq_mhz,allocation_method
KMLB        ,92.06430556,32.62208333,0.01,0.0,LA_0,LA ,suburban,"HOLLADAY BROADCASTING OF LOUISIANA, LLC                                     ",MONROE                   ,,,AM,fully_processed,2.0,0,,,2400.0,2405.0,Global_Optimization
WASG        ,88.09444444,30.74575,0.01,0.0,AL_0,AL ,suburban,ALABAMA RADIO CORPORATION                                                   ,DAPHNE                   ,,,AM,fully_processed,2.0,0,,,2400.0,2405.0,Global_Optimization
KWMT        ,94.20941667,42.49580556,0.01,0.0,IA_0,IA ,suburban,ALPHA 3E LICENSEE LLC,FORT DODGE               ,,,AM,fully_processed,2.0,0,,,2400.0,2405.0,Global_Optimization
WGOP        ,75.56936111,38.05316667,0.01,0.0,MD_0,MD ,suburban,"THE WATERS GROUP, LLC                                                       ",POCOMOKE CITY            ,,,AM,fully_processed,2.0,0,,,2400.0,2405.0,Global_Optimization
WDAK        ,84.9505,32.43291667,0.01,0.0,GA_0,GA ,suburban,"IHM LICENSES, LLC                                                           ",COLUMBUS                 ,,,AM,fully_processed,2.0,0,,,2400.0,2405.0,Global_Optimization
WAUK        ,88.15313889,43.33333333,0.01,0.0,WI_0,WI ,suburban,"CIVIC MEDIA, INC.                                                           ",JACKSON                  ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WGOP        ,75.56936111,38.05316667,0.01,0.0,MD_0,MD ,suburban,"THE WATERS GROUP, LLC                                                       ",POCOMOKE CITY            ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
KTZN        ,149.8283056,61.16555556,0.01,0.0,AK_0,AK ,suburban,"IHM LICENSES, LLC                                                           ",ANCHORAGE                ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
KVIP        ,122.2813889,40.62347222,0.01,0.0,CA_0,CA ,suburban,PACIFIC CASCADE COMMUNICATIONS CORPORATION                                  ,REDDING                  ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WASG        ,88.09416667,30.74602778,0.01,0.0,AL_0,AL ,suburban,ALABAMA RADIO CORPORATION                                                   ,DAPHNE                   ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WETC        ,78.43194444,35.86930556,0.01,0.0,NC_0,NC ,suburban,"DIVINE MERCY RADIO, INC.                                                    ",WENDELL-ZEBULON          ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
KRXA        ,121.5424444,36.65997222,0.01,0.0,CA_0,CA ,suburban,EL SEMBRADOR MINISTRIES                                                     ,CARMEL VALLEY            ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WGTH        ,81.78261111,37.08372222,0.01,0.0,VA_0,VA ,suburban,"HIGH KNOB BROADCASTERS, INC.                                                ",RICHLANDS                ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
KDFT        ,96.57472222,32.51319444,0.01,0.0,TX_0,TX ,suburban,"WAY BROADCASTING LICENSEE, LLC                                              ",FERRIS                   ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WKFN        ,87.32555556,36.542,0.01,0.0,TN_0,TN ,suburban,"SAGA COMMUNICATIONS OF TUCKESSEE, LLC                                       ",CLARKSVILLE              ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WYNN        ,79.80811111,34.21822222,0.01,0.0,SC_0,SC ,suburban,CUMULUS LICENSING LLC                                                       ,FLORENCE                 ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WWCS        ,80.18505556,40.2895,0.01,0.0,PA_0,PA ,suburban,BIRACH BROADCASTING CORPORATION                                             ,CANONSBURG               ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WDAK        ,84.9505,32.43291667,0.01,0.0,GA_0,GA ,suburban,"IHM LICENSES, LLC                                                           ",COLUMBUS                 ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WBWD        ,73.21344444,40.75177778,0.01,0.0,NY_0,NY ,suburban,"OM SAI BROADCASTING, LLC                                                    ",ISLIP                    ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
KNMX        ,105.1719444,35.57366667,0.01,0.0,NM_0,NM ,suburban,"SANGRE DE CRISTO BROADCASTING CO., INC.                                     ",LAS VEGAS                ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
KWMT        ,94.20941667,42.49580556,0.01,0.0,IA_0,IA ,suburban,ALPHA 3E LICENSEE LLC,FORT DODGE               ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WRGC        ,83.24875,35.39205556,0.01,0.0,NC_0,NC ,suburban,"FIVE FORTY BROADCASTING COMPANY, LLC                                        ",SYLVA                    ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
KMLB        ,92.06430556,32.62208333,0.01,0.0,LA_0,LA ,suburban,"HOLLADAY BROADCASTING OF LOUISIANA, LLC                                     ",MONROE                   ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WXYG        ,94.13944444,45.60497222,0.01,0.0,MN_0,MN ,suburban,HERBERT M. HOPPE REVOCABLE TRUST                                            ,SAUK RAPIDS              ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WFLF        ,81.66175,28.48166667,0.01,0.0,FL_0,FL ,suburban,"IHM LICENSES, LLC                                                           ",PINE HILLS               ,,,AM,fully_processed,2.0,0,,,2405.0,2410.0,Global_Optimization
WETC        ,78.43194444,35.86930556,0.01,0.0,NC_0,NC ,suburban,"DIVINE MERCY RADIO, INC.                                                    ",WENDELL-ZEBULON          ,,,AM,fully_processed,2.0,0,,,2410.0,2415.0,Global_Optimization
WETC        ,78.43194444,35.86930556,0.01,0.0,NC_0,NC ,suburban,"DIVINE MERCY RADIO, INC.                                                    ",WENDELL-ZEBULON          ,,,AM,fully_processed,2.0,0,,,2415.0,2420.0,Global_Optimization
