station_id,x_coord,y_coord,bandwidth_mhz,azimuth_deg,state,cluster,area_type,elevation_deg,service_type
WKSS-FM,-72.6959,41.7558,0.2,90,CT,CT_HAR_01,urban,10,FM
WFSB-TV,-72.6759,41.7758,6,180,CT,CT_HAR_01,urban,15,TV
WMRQ-FM,-72.7059,41.7458,0.2,270,CT,CT_HAR_01,urban,20,FM
WTNH-TV,-72.6659,41.7858,6,45,CT,CT_HAR_01,urban,5,TV
WPOP-AM,-72.7159,41.7358,0.02,315,CT,CT_HAR_01,urban,0,AM
WHCN-FM,-72.6559,41.7958,0.2,135,CT,CT_HAR_01,urban,25,FM
WWYZ-FM,-72.5700,41.8200,0.2,225,CT,CT_HAR_02,suburban,10,FM
WRCH-FM,-72.8300,41.6200,0.2,90,CT,CT_HAR_02,suburban,15,FM
WDRC-FM,-72.6744,41.7695,0.2,180,CT,CT_HAR_02,suburban,5,FM
WBTZ-FM,-73.2097,44.4759,0.2,45,VT,VT_BUR_01,rural,10,FM
WVMT-AM,-73.2197,44.4659,0.02,135,VT,VT_BUR_01,rural,0,AM
WCAX-TV,-73.1997,44.4859,6,225,VT,VT_BUR_01,rural,15,TV
WOKO-FM,-73.2297,44.4559,0.2,315,VT,VT_BUR_01,rural,20,FM
WPTZ-TV,-73.1897,44.4959,6,0,VT,VT_BUR_01,rural,5,TV
WEQX-FM,-73.1600,43.0900,0.2,90,VT,VT_BUR_02,rural,10,FM
WIZN-FM,-72.7400,43.3400,0.2,180,VT,VT_BUR_02,rural,15,FM
WNCS-FM,-72.5700,44.2600,0.2,270,VT,VT_BUR_03,rural,5,FM
KTCK-AM,-96.8080,32.7767,0.02,0,TX,TX_DAL_01,urban,0,AM
KVIL-FM,-96.8180,32.7667,0.2,90,TX,TX_DAL_01,urban,15,FM
WFAA-TV,-96.7980,32.7867,6,180,TX,TX_DAL_01,urban,20,TV
KLIF-AM,-96.8280,32.7567,0.02,270,TX,TX_DAL_01,urban,0,AM
KDFW-TV,-96.7880,32.7967,6,45,TX,TX_DAL_01,urban,25,TV
KRLD-AM,-96.8380,32.7467,0.02,315,TX,TX_DAL_01,urban,0,AM
KHKS-FM,-96.7780,32.8067,0.2,135,TX,TX_DAL_01,urban,10,FM
KZPS-FM,-96.7680,32.8167,0.2,225,TX,TX_DAL_01,urban,5,FM
KKDA-FM,-96.7580,32.6900,0.2,90,TX,TX_DAL_02,suburban,15,FM
KNON-FM,-96.7517,32.7760,0.2,180,TX,TX_DAL_02,suburban,10,FM
KPHY-FM,-112.0740,33.4484,0.2,45,AZ,AZ_PHO_01,urban,10,FM
KTAR-AM,-112.0840,33.4384,0.02,135,AZ,AZ_PHO_01,urban,0,AM
KPNX-TV,-112.0640,33.4584,6,225,AZ,AZ_PHO_01,urban,20,TV
KESZ-FM,-112.0940,33.4284,0.2,315,AZ,AZ_PHO_01,urban,15,FM
KSAZ-TV,-112.0540,33.4684,6,0,AZ,AZ_PHO_01,urban,25,TV
KOY-AM,-112.1040,33.4184,0.02,90,AZ,AZ_PHO_01,urban,0,AM
KMXP-FM,-112.0440,33.4784,0.2,180,AZ,AZ_PHO_01,urban,5,FM
KDKB-FM,-112.1700,33.6200,0.2,270,AZ,AZ_PHO_02,suburban,10,FM
KUPD-FM,-112.0600,33.5400,0.2,0,AZ,AZ_PHO_02,suburban,15,FM
KBAQ-FM,-112.0669,33.4207,0.2,90,AZ,AZ_PHO_02,suburban,5,FM
WDAS-FM,-75.1617,39.9156,0.2,45,PA,PA_PHI_03,urban,10,FM
WUSL-FM,-75.1717,39.9056,0.2,135,PA,PA_PHI_03,urban,15,FM
WMGK-FM,-75.1817,39.8956,0.2,225,PA,PA_PHI_03,urban,20,FM
WDAS-AM,-75.1917,39.8856,0.02,315,PA,PA_PHI_03,urban,0,AM
WBEN-FM,-75.2017,39.8756,0.2,0,PA,PA_PHI_03,urban,5,FM
KFOG-FM,-122.4594,37.7349,0.2,90,CA,CA_SF_03,urban,25,FM
KOIT-FM,-122.4694,37.7249,0.2,180,CA,CA_SF_03,urban,10,FM
KKIQ-FM,-122.4794,37.7149,0.2,270,CA,CA_SF_03,urban,15,FM
KBLX-FM,-122.4894,37.7049,0.2,0,CA,CA_SF_03,urban,20,FM
KKSF-FM,-122.4994,37.6949,0.2,90,CA,CA_SF_03,urban,5,FM
WQSR-FM,-77.4605,39.0436,0.2,45,MD,MD_BAL_01,urban,10,FM
WBAL-AM,-77.4705,39.0336,0.02,135,MD,MD_BAL_01,urban,0,AM
WJZ-TV,-77.4505,39.0536,6,225,MD,MD_BAL_01,urban,15,TV
WZFT-FM,-77.4805,39.0236,0.2,315,MD,MD_BAL_01,urban,20,FM
WMAR-TV,-77.4405,39.0636,6,0,MD,MD_BAL_01,urban,25,TV
WCAO-AM,-77.4905,39.0136,0.02,90,MD,MD_BAL_01,urban,0,AM
WLIF-FM,-77.4305,39.0736,0.2,180,MD,MD_BAL_01,urban,5,FM
WYPR-FM,-77.5200,39.0500,0.2,270,MD,MD_BAL_02,suburban,15,FM
WEAA-FM,-77.3900,39.0200,0.2,0,MD,MD_BAL_02,suburban,10,FM
WBJC-FM,-77.4000,39.1000,0.2,90,MD,MD_BAL_02,suburban,5,FM
WBIG-FM,-77.0369,38.8400,0.2,45,VA,VA_NOR_01,urban,10,FM
WPTE-AM,-77.0469,38.8300,0.02,135,VA,VA_NOR_01,urban,0,AM
WJLA-FM,-77.0269,38.8500,0.2,225,VA,VA_NOR_01,urban,15,FM
WAVA-FM,-77.0569,38.8200,0.2,315,VA,VA_NOR_01,urban,20,FM
WJFK-FM,-77.0169,38.8600,0.2,0,VA,VA_NOR_01,urban,5,FM
WMZQ-FM,-77.3600,38.7900,0.2,90,VA,VA_NOR_02,suburban,10,FM
WBQB-FM,-77.5000,38.7500,0.2,180,VA,VA_NOR_02,suburban,15,FM
WPRS-FM,-77.2800,38.9300,0.2,270,VA,VA_NOR_02,suburban,5,FM
KKGO-FM,-118.2436,34.0522,0.2,45,CA,CA_LA_01,urban,10,FM
KFI-AM,-118.2536,34.0422,0.02,135,CA,CA_LA_01,urban,0,AM
KNBC-TV,-118.2336,34.0622,6,225,CA,CA_LA_01,urban,20,TV
KIIS-FM,-118.2636,34.0322,0.2,315,CA,CA_LA_01,urban,15,FM
KTLA-TV,-118.2236,34.0722,6,0,CA,CA_LA_01,urban,25,TV
KNX-AM,-118.2736,34.0222,0.02,90,CA,CA_LA_01,urban,0,AM
KROQ-FM,-118.2136,34.0822,0.2,180,CA,CA_LA_01,urban,5,FM
KPCC-FM,-118.1289,34.1376,0.2,270,CA,CA_LA_02,suburban,10,FM
KUSC-FM,-118.1789,34.0176,0.2,0,CA,CA_LA_02,suburban,15,FM
KCRW-FM,-118.4500,34.0200,0.2,90,CA,CA_LA_02,suburban,5,FM
WQCD-FM,-73.9860,40.7500,0.2,45,NY,NY_NYC_03,urban,10,FM
WAXQ-FM,-73.9960,40.7400,0.2,135,NY,NY_NYC_03,urban,15,FM
WWPR-FM,-74.0060,40.7300,0.2,225,NY,NY_NYC_03,urban,20,FM
WSKQ-FM,-74.0160,40.7200,0.2,315,NY,NY_NYC_03,urban,5,FM
WPAT-AM,-74.0260,40.7100,0.02,0,NY,NY_NYC_03,urban,0,AM
WXLO-FM,-104.9907,39.7393,0.2,45,CO,CO_DEN_04,urban,10,FM
KIMN-FM,-105.0007,39.7293,0.2,135,CO,CO_DEN_04,urban,15,FM
KBPI-FM,-105.0107,39.7193,0.2,225,CO,CO_DEN_04,urban,20,FM
KALC-FM,-105.0207,39.7093,0.2,315,CO,CO_DEN_04,urban,5,FM
KTCL-FM,-105.0307,39.6993,0.2,0,CO,CO_DEN_04,urban,25,FM
KDCO-AM,-105.0407,39.6893,0.02,90,CO,CO_DEN_04,urban,0,AM
KKHK-FM,-105.0507,39.6793,0.2,180,CO,CO_DEN_04,urban,10,FM
KRFX-FM,-105.0607,39.6693,0.2,270,CO,CO_DEN_04,urban,15,FM
WKTU-FM,-74.0660,40.7000,0.2,45,NJ,NJ_NEW_01,suburban,20,FM
WMCA-AM,-74.0760,40.6900,0.02,135,NJ,NJ_NEW_01,suburban,0,AM
WFME-FM,-74.0860,40.6800,0.2,225,NJ,NJ_NEW_01,suburban,10,FM
WPAT-FM,-74.0960,40.6700,0.2,315,NJ,NJ_NEW_01,suburban,15,FM
WLIB-AM,-74.1060,40.6600,0.02,0,NJ,NJ_NEW_01,suburban,0,AM
WGHT-FM,-74.2300,40.7900,0.2,90,NJ,NJ_NEW_02,suburban,5,FM
WDHA-FM,-74.6300,40.8700,0.2,180,NJ,NJ_NEW_02,suburban,10,FM
WMTR-AM,-74.4400,40.7900,0.02,270,NJ,NJ_NEW_02,suburban,0,AM
WPST-FM,-74.6600,40.2200,0.2,0,NJ,NJ_NEW_03,rural,15,FM
WHTG-FM,-74.2800,40.3900,0.2,90,NJ,NJ_NEW_03,rural,20,FM
WOBM-FM,-74.2500,39.9500,0.2,180,NJ,NJ_NEW_03,rural,5,FM
KBZT-FM,-117.1611,32.7157,0.2,45,CA,CA_SD_01
