callsigns,license link,name,FRN,radio service,status,expiration date
T060430025,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453606,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430026,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453608,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430027,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453610,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430028,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453612,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430029,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453614,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430030,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453616,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430031,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453618,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430032,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453620,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430033,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453622,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430034,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453624,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430035,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453626,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430036,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453628,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430037,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453630,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430038,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453632,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430039,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453634,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430040,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453636,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430041,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453638,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430042,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453640,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430043,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453642,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430044,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453644,Gamma Acquisition L.L.C,0021004817,AD,Active,2033-06-14
T060430045,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453646,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430046,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453648,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430047,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453650,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430048,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453652,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430049,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453654,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430050,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453656,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430051,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453658,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430052,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453660,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430053,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453662,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430054,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453664,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430055,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453666,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430056,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453668,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430057,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453670,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430058,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453672,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430059,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453674,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430060,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453676,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430061,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453678,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430062,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453680,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430063,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453682,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430064,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453684,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430065,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453686,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430066,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453688,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430067,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453690,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430068,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453692,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430069,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453694,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430070,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453696,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430071,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453698,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430072,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453700,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430073,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453702,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430074,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453704,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430075,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453706,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430076,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453708,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430077,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453710,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430078,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453712,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430079,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453714,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430080,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453716,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430081,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453718,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430082,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453720,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430083,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453722,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430084,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453724,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430085,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453726,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430086,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453728,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
T060430087,https://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=mzAGcyfSBXKAnfEJcEWYIPF7qYN1asq7OilUCZA2YIA4DiXgI7wW!1649010833!880290370?licKey=3453730,Gamma Acquisition L.L.C.,0021004817,AD,Active,2033-06-14
